film name,film year,film rate,director name
All We Imagine as Light,2024,100%,['Payal Kapadia']
Nowhere Special,2020,100%,['Uberto Pasolini']
Girls Will Be Girls,2024,100%,['Shuchi Talati']
"LaRoy, Texas",2023,100%,['Shane Atkinson']
On Becoming a Guinea Fowl,2024,100%,['Rungano Nyoni']
Ghostlight,2024,99%,"[""Kelly O'Sullivan"", 'Alex Thompson']"
Thelma,2024,98%,['Josh Margolin']
Sing Sing,2023,97%,['Greg Kwedar']
His Three Daughters,2023,98%,['Azazel Jacobs']
Robot Dreams,2023,98%,['Pablo Berger']
Good One,2024,98%,['India Donaldson']
The Crime Is Mine,2023,98%,['François Ozon']
Black Box Diaries,2024,98%,['Shiori Ito']
The Goldman Case,2023,98%,['Cédric Kahn']
Aisha,2022,98%,['Frank Berry']
LOLA,2022,98%,['Andrew Legge']
Molli and Max in the Future,2023,98%,['Michael Lukk Litwak']
The Wild Robot,2024,97%,['Christopher Sanders']
Late Night with the Devil,2023,97%,"['Colin Cairnes', 'Cameron Cairnes']"
The Promised Land,2023,97%,['Nikolaj Arcel']
Hundreds of Beavers,2022,97%,['Mike Cheslik']
Flow,2024,97%,['Gints Zilbalodis']
Tótem,2023,97%,['Lila Avilés']
Do Not Expect Too Much from the End of the World,2023,97%,['Radu Jude']
Hard Truths,2024,95%,['Mike Leigh']
Crossing,2024,97%,['Levan Akin']
Tiger Stripes,2023,97%,['Amanda Nell Eu']
Anora,2024,95%,['Sean Baker']
A Real Pain,2024,96%,['Jesse Eisenberg']
Dìdi,2024,96%,['Sean Wang']
Fancy Dance,2023,96%,['Erica Tremblay']
Oddity,2024,96%,['Damian McCarthy']
Rebel Ridge,2024,96%,['Jeremy Saulnier']
Io Capitano,2023,96%,['Matteo Garrone']
Red Rooms,2023,96%,['Pascal Plante']
The Last Stop in Yuma County,2023,96%,['Francis Galluppi']
The Remarkable Life of Ibelin,2024,96%,['Benjamin Ree']
Música,2024,96%,['Rudy Mancuso']
The Vourdalak,2023,96%,['Adrien Beau']
Fitting In,2023,96%,['Molly McGlynn']
Hit Man,2023,95%,['Richard Linklater']
Strange Darling,2023,95%,['JT Mollner']
Kneecap,2024,95%,['Rich Peppiatt']
Nosferatu,2024,87%,['Robert Eggers']
Sleep,2024,95%,['Jason Yu']
Exhibiting Forgiveness,2024,95%,['Titus Kaphar']
Infested,2023,95%,['Sébastien Vaniček']
In Flames,2023,95%,['Zarrar Kahn']
Banel & Adama,2023,95%,['Ramata-Toulaye Sy']
Love Lies Bleeding,2024,94%,['Rose Glass']
La Chimera,2023,94%,['Alice Rohrwacher']
Memoir of a Snail,2024,94%,['Adam Elliot']
New Life,2023,94%,['John Rosman']
Inside the Yellow Cocoon Shell,2023,94%,['Pham Thien An']
Driving Madeleine,2022,94%,['Christian Carion']
The Monk and the Gun,2023,94%,['Pawo Choyning Dorji']
Chasing Chasing Amy,2023,94%,['Sav Rodgers']
Hoard,2023,94%,['Luna Carmoon']
Conclave,2024,93%,['Edward Berger']
Juror #2,2024,93%,['Clint Eastwood']
Small Things Like These,2024,93%,['Tim Mielants']
Green Border,2023,93%,['Agnieszka Holland']
Femme,2023,93%,"['Sam H. Freeman', 'Ng Choon Ping']"
The Seed of the Sacred Fig,2024,94%,['Mohammad Rasoulof']
We Grown Now,2023,93%,['Minhal Baig']
Close Your Eyes,2023,93%,['Víctor Erice']
The Settlers,2023,93%,['Felipe Gálvez Haberle']
Gasoline Rainbow,2023,93%,"['Bill Ross IV', 'Turner Ross']"
My Name is Alfred Hitchcock,2022,93%,['Mark Cousins']
Housekeeping for Beginners,2023,93%,['Goran Stolevski']
"20,000 Species of Bees",2023,93%,['Estíbaliz Urresola Solaguren']
MadS,2024,93%,['David Moreau']
Dune: Part Two,2024,92%,['Denis Villeneuve']
A Different Man,2024,93%,['Aaron Schimberg']
Orion and the Dark,2024,92%,['Sean Charmatz']
About Dry Grasses,2023,92%,['Nuri Bilge Ceylan']
Touch,2024,92%,['Baltasar Kormákur']
National Anthem,2023,92%,['Luke Gilford']
In the Summers,2024,92%,['Alessandra Lacorazza Samudio']
Minor Premise,2020,92%,['Eric Schultz']
Inside Out 2,2024,91%,['Kelsey Mann']
Heretic,2024,90%,"['Scott Beck', 'Bryan Woods']"
Woman of the Hour,2023,91%,['Anna Kendrick']
The Imaginary,2023,91%,['Yoshiyuki Momose']
The Devil's Bath,2024,90%,"['Veronika Franz', 'Severin Fiala']"
Stopmotion,2023,91%,['Robert Morgan']
Limbo,2023,91%,['Ivan Sen']
Bookworm,2024,91%,['Ant Timpson']
Furiosa: A Mad Max Saga,2024,90%,['George Miller']
The Substance,2024,90%,['Coralie Fargeat']
My Old Ass,2024,90%,['Megan Park']
One Life,2023,90%,['James Hawes']
The Order,2024,90%,['Justin Kurzel']
Cabrini,2024,90%,['Alejandro Monteverde']
Humanist Vampire Seeking Consenting Suicidal Person,2023,90%,['Ariane Louis-Seize']
The Kitchen,2023,91%,"['Daniel Kaluuya', 'Kibwe Tavares']"
The Girl with the Needle,2024,91%,['Magnus von Horn']
Look Into My Eyes,2024,90%,['Lana Wilson']
Monkey Man,2024,89%,['Dev Patel']
Transformers One,2024,89%,['Josh Cooley']
